force,x,y,strain,Z1,Z2,Z3,Z4,Z5,Z6,Z1-Z4,Z2-Z6,Z3-Z5,Tforce
1.5,1,1,0,1752296,4198061.6,3734200.8,1894575,3819387,4456335,-142279,-258273.4,-85186.2,1.48E+00
1.5,1,1,0,1753276,4203732.8,3747070.8,1892825,3805503,4457869,-139549,-254136.2,-58432.2,1.48E+00
1.5,1,1,0,1750462,4193927.2,3748905.6,1899887.5,3822546,4442256,-149425.5,-248328.8,-73640.4,1.49E+00
1.5,1,1,0,1748334,4179035.2,3726373.2,1900662.5,3814096,4468191,-152328.5,-289155.8,-87722.8,1.49E+00
1.5,1,1,0,1753402,4200808.8,3734662.8,1890787.5,3813836,4441190,-137385.5,-240381.2,-79173.2,1.48E+00
1.5,1,1,0,1752688,4205446.4,3738094.8,1896187.5,3810222,4433767,-143499.5,-228320.6,-72127.2,1.48E+00
1.5,1,1,0,1749426,4187984,3748628.4,1897025,3814044,4458181,-147599,-270197,-65415.6,1.49E+00
1.5,1,1,0,1748978,4182870.4,3748971.6,1893687.5,3819777,4440540,-144709.5,-257669.6,-70805.4,1.49E+00
1.5,1,1,0,1751736,4197558.4,3737223.6,1894562.5,3807908,4449549,-142826.5,-251990.6,-70684.4,1.48E+00
1.5,1,1,0,1747662,4199108.8,3763095.6,1897712.5,3816527,4445584,-150050.5,-246475.2,-53431.4,1.48E+00
1.5,1,1,0,1752184,4197952.8,3739084.8,1894287.5,3814590,4462627,-142103.5,-264674.2,-75505.2,1.48E+00
1.5,1,1,0,1753248,4200972,3743480.4,1892062.5,3813641,4437251,-138814.5,-236279,-70160.6,1.48E+00
1.5,1,1,0,1749832,4191996,3755730,1901287.5,3818503,4438941,-151455.5,-246945,-62773,1.49E+00
1.5,1,1,0,1748152,4187671.2,3738266.4,1891875,3808259,4465630,-143723,-277958.8,-69992.6,1.48E+00
1.5,1,1,0,1753220,4204630.4,3749433.6,1893525,3819673,4436575,-140305,-231944.6,-70239.4,1.49E+00
1.5,1,1,0,1750378,4205691.2,3734530.8,1900487.5,3825328,4446143,-150109.5,-240451.8,-90797.2,1.48E+00
1.5,1,1,0,1750294,4180218.4,3732722.4,1895312.5,3818048,4447430,-145018.5,-267211.6,-85325.6,1.49E+00
1.5,1,1,0,1754102,4203297.6,3756535.2,1896912.5,3817866,4429204,-142810.5,-225906.4,-61330.8,1.48E+00
1.5,1,1,0,1748096,4203175.2,3757947.6,1897825,3820479,4456036,-149729,-252860.8,-62531.4,1.49E+00
1.5,1,1,0,1747480,4179960,3745288.8,1895175,3818711,4462991,-147695,-283031,-73422.2,1.48E+00
1.5,1,1,0,1753486,4228253.6,3742833.6,1892775,3805503,4468308,-139289,-240054.4,-62669.4,1.48E+00
1.5,1,1,0,1751568,4195232.8,3743836.8,1899162.5,3834831,4441268,-147594.5,-246035.2,-90994.2,1.47E+00
